OrderID,OrderDate,CustomerID,CustomerName,Region,ProductID,ProductName,Category,Quantity,Price,TotalAmount,PaymentMethod
1001,5/21/2024,2,Customer_2,E,9,Product_9,Grocery,9,1047,9423,UPI
1002,1/18/2024,37,Customer_37,North,19,Product_19,Home Decor,1,1563,1563,NetBanking
1003,3/28/2024,9,Customer_9,South,12,Product_12,Home Decor,4,1539,6156,COD
1004,3/29/2024,40,Customer_40,West,14,Product_14,Grocery,3,204,612,NetBanking
1005,5/25/2024,40,Customer_40,West,14,Product_14,Grocery,9,204,1836,COD
1006,6/28/2024,48,Customer_48,E,17,Product_17,Electronics,4,1320,5280,COD
1007,2/14/2024,25,Customer_25,E,18,Product_18,Home Decor,1,1099,1099,Card
1008,4/13/2024,30,Customer_30,West,12,Product_12,Home Decor,10,1539,15390,NetBanking
1009,4/22/2024,5,Customer_5,West,13,Product_13,Home Decor,6,1267,7602,NetBanking
1010,2/11/2024,39,Customer_39,E,5,Product_5,Electronics,1,632,632,NetBanking
1011,3/26/2024,7,Customer_7,West,17,Product_17,Electronics,6,1320,7920,COD
1012,4/5/2024,29,Customer_29,West,9,Product_9,Grocery,5,1047,5235,UPI
1013,5/22/2024,45,Customer_45,E,1,Product_1,Grocery,1,574,574,Card
1014,6/15/2024,16,Customer_16,North,8,Product_8,Home Decor,9,1924,17316,COD
1015,2/20/2024,17,Customer_17,West,17,Product_17,Electronics,2,1320,2640,COD
1016,5/29/2024,26,Customer_26,E,8,Product_8,Home Decor,8,1924,15392,COD
1017,4/26/2024,25,Customer_25,E,8,Product_8,Home Decor,6,1924,11544,Card
1018,5/5/2024,1,Customer_1,South,8,Product_8,Home Decor,10,1924,19240,UPI
1019,3/23/2024,16,Customer_16,North,14,Product_14,Grocery,3,204,612,NetBanking
1020,4/5/2024,31,Customer_31,South,2,Product_2,Home Decor,7,481,3367,NetBanking
1021,3/15/2024,38,Customer_38,North,8,Product_8,Home Decor,1,1924,1924,UPI
1022,3/3/2024,28,Customer_28,North,4,Product_4,Grocery,10,1380,13800,COD
